Email,Account_id,balance,Account_type,created_at,password
user48@example.com,51,4000,checking,2025-03-05 21:45:10,efgh
user49@example.com,52,1100,saving,2025-03-06 04:55:25,ijkl
user50@example.com,53,5500,checking,2025-03-07 11:05:40,mnop
user51@example.com,54,1700,saving,2025-03-08 17:15:55,qrst
user52@example.com,55,3000,checking,2025-03-09 23:25:10,uvwx
user53@example.com,56,800,saving,2025-03-10 05:35:25,yz12
user54@example.com,57,9500,checking,2025-03-11 11:45:40,3456
user55@example.com,58,1600,saving,2025-03-12 17:55:55,7890
user56@example.com,59,4500,checking,2025-03-13 00:05:10,abcd
user57@example.com,60,1000,saving,2025-03-14 06:15:25,efgh
user58@example.com,61,5000,checking,2025-03-15 12:25:40,ijkl
user59@example.com,62,750,saving,2025-03-16 18:35:55,mnop
user60@example.com,63,8500,checking,2025-03-17 00:45:10,qrst
user61@example.com,64,1900,saving,2025-03-18 06:55:25,uvwx
user62@example.com,65,6000,checking,2025-03-19 13:05:40,yz12
user63@example.com,66,1200,saving,2025-03-20 19:15:55,3456
user64@example.com,67,3500,checking,2025-03-21 01:25:10,7890
user65@example.com,68,900,saving,2025-03-22 07:35:25,abcd
user66@example.com,69,7000,checking,2025-03-23 13:45:40,efgh
user67@example.com,70,1300,saving,2025-03-24 19:55:55,ijkl
user68@example.com,71,4000,checking,2025-03-25 02:05:10,mnop
user69@example.com,72,1100,saving,2025-03-26 08:15:25,qrst
user70@example.com,73,5500,checking,2025-03-27 14:25:40,uvwx
user71@example.com,74,1700,saving,2025-03-28 20:35:55,yz12
user72@example.com,75,3000,checking,2025-03-29 02:45:10,3456
user73@example.com,76,800,saving,2025-03-30 08:55:25,7890
user74@example.com,77,9500,checking,2025-03-31 15:05:40,abcd
user75@example.com,78,1600,saving,2025-04-01 21:15:55,efgh
user76@example.com,79,4500,checking,2025-04-02 03:25:10,ijkl
user77@example.com,80,1000,saving,2025-04-03 09:35:25,mnop
user78@example.com,81,5000,checking,2025-04-04 15:45:40,qrst
user79@example.com,82,750,saving,2025-04-05 21:55:55,uvwx
user80@example.com,83,8500,checking,2025-04-06 04:05:10,yz12
user81@example.com,84,1900,saving,2025-04-07 10:15:25,3456
user82@example.com,85,6000,checking,2025-04-08 16:25:40,7890
user83@example.com,86,1200,saving,2025-04-09 22:35:55,abcd
user84@example.com,87,3500,checking,2025-04-10 04:45:10,efgh
user85@example.com,88,900,saving,2025-04-11 10:55:25,ijkl
user86@example.com,89,7000,checking,2025-04-12 17:05:40,mnop
user87@example.com,90,1300,saving,2025-04-13 23:15:55,qrst
user88@example.com,91,4000,checking,2025-04-14 05:25:10,uvwx
user89@example.com,92,1100,saving,2025-04-15 11:35:25,yz12
user90@example.com,93,5500,checking,2025-04-16 17:45:40,3456
user91@example.com,94,1700,saving,2025-04-17 23:55:55,7890
user92@example.com,95,3000,checking,2025-04-18 06:05:10,abcd
user93@example.com,96,800,saving,2025-04-19 12:15:25,efgh
user94@example.com,97,9500,checking,2025-04-20 18:25:40,ijkl
user95@example.com,98,1600,saving,2025-04-21 00:35:55,mnop
user96@example.com,99,4500,checking,2025-04-22 06:45:10,qrst
user97@example.com,100,1000,saving,2025-04-23 12:55:25,uvwx
user98@example.com,101,5000,checking,2025-04-24 19:05:40,yz12
user99@example.com,102,750,saving,2025-04-25 01:15:55,3456
user100@example.com,103,8500,checking,2025-04-26 07:25:10,7890
zakaria@gmail.com,104,500,checking,2025-04-26 07:25:10,12345
imad@gmail.com,104,0,Admin,2024-04-26 07:25:10,12345
